Epoch 42/500 | latent_loss=0.001333 | mask_loss=0.002069 | total_loss=0.003402 | epoch_time=8.5s | eta=65.2m (finishes ~ 03:24:17)
Epoch 43/500 | latent_loss=0.001330 | mask_loss=0.002020 | total_loss=0.003351 | epoch_time=8.1s | eta=64.9m (finishes ~ 03:24:12)
Epoch 44/500 | latent_loss=0.001328 | mask_loss=0.001974 | total_loss=0.003301 | epoch_time=8.6s | eta=64.8m (finishes ~ 03:24:13)
Epoch 45/500 | latent_loss=0.001325 | mask_loss=0.001929 | total_loss=0.003254 | epoch_time=8.3s | eta=64.6m (finishes ~ 03:24:11)
Epoch 46/500 | latent_loss=0.001323 | mask_loss=0.001885 | total_loss=0.003208 | epoch_time=8.4s | eta=64.5m (finishes ~ 03:24:09)
Epoch 47/500 | latent_loss=0.001321 | mask_loss=0.001844 | total_loss=0.003164 | epoch_time=8.8s | eta=64.4m (finishes ~ 03:24:12)
Epoch 48/500 | latent_loss=0.001318 | mask_loss=0.001804 | total_loss=0.003122 | epoch_time=8.1s | eta=64.2m (finishes ~ 03:24:08)
Epoch 49/500 | latent_loss=0.001316 | mask_loss=0.001765 | total_loss=0.003081 | epoch_time=8.6s | eta=64.0m (finishes ~ 03:24:08)
Epoch 50/500 | latent_loss=0.001314 | mask_loss=0.001727 | total_loss=0.003042 | epoch_time=8.6s | eta=63.9m (finishes ~ 03:24:09)
Epoch 51/500 | latent_loss=0.001312 | mask_loss=0.001692 | total_loss=0.003004 | epoch_time=8.6s | eta=63.8m (finishes ~ 03:24:10)
Epoch 52/500 | latent_loss=0.001310 | mask_loss=0.001657 | total_loss=0.002967 | epoch_time=8.9s | eta=63.7m (finishes ~ 03:24:13)
Epoch 53/500 | latent_loss=0.001308 | mask_loss=0.001624 | total_loss=0.002932 | epoch_time=8.2s | eta=63.5m (finishes ~ 03:24:10)
Epoch 54/500 | latent_loss=0.001306 | mask_loss=0.001592 | total_loss=0.002898 | epoch_time=8.3s | eta=63.3m (finishes ~ 03:24:08)
Epoch 55/500 | latent_loss=0.001304 | mask_loss=0.001561 | total_loss=0.002865 | epoch_time=8.6s | eta=63.2m (finishes ~ 03:24:09)
Epoch 56/500 | latent_loss=0.001302 | mask_loss=0.001531 | total_loss=0.002833 | epoch_time=8.4s | eta=63.0m (finishes ~ 03:24:08)
Epoch 57/500 | latent_loss=0.001300 | mask_loss=0.001502 | total_loss=0.002802 | epoch_time=8.3s | eta=62.9m (finishes ~ 03:24:07)
Epoch 58/500 | latent_loss=0.001299 | mask_loss=0.001474 | total_loss=0.002773 | epoch_time=8.4s | eta=62.7m (finishes ~ 03:24:05)
Epoch 59/500 | latent_loss=0.001297 | mask_loss=0.001447 | total_loss=0.002744 | epoch_time=8.5s | eta=62.6m (finishes ~ 03:24:05)
Epoch 60/500 | latent_loss=0.001295 | mask_loss=0.001421 | total_loss=0.002716 | epoch_time=8.5s | eta=62.4m (finishes ~ 03:24:05)
Epoch 61/500 | latent_loss=0.001294 | mask_loss=0.001396 | total_loss=0.002690 | epoch_time=8.6s | eta=62.3m (finishes ~ 03:24:05)
Epoch 62/500 | latent_loss=0.001292 | mask_loss=0.001372 | total_loss=0.002664 | epoch_time=8.5s | eta=62.1m (finishes ~ 03:24:05)
Epoch 63/500 | latent_loss=0.001290 | mask_loss=0.001348 | total_loss=0.002639 | epoch_time=8.2s | eta=62.0m (finishes ~ 03:24:03)
Epoch 64/500 | latent_loss=0.001289 | mask_loss=0.001325 | total_loss=0.002614 | epoch_time=8.6s | eta=61.8m (finishes ~ 03:24:04)
Epoch 65/500 | latent_loss=0.001288 | mask_loss=0.001304 | total_loss=0.002591 | epoch_time=8.6s | eta=61.7m (finishes ~ 03:24:05)
Epoch 66/500 | latent_loss=0.001286 | mask_loss=0.001282 | total_loss=0.002569 | epoch_time=8.3s | eta=61.5m (finishes ~ 03:24:04)
Epoch 67/500 | latent_loss=0.001285 | mask_loss=0.001262 | total_loss=0.002547 | epoch_time=8.7s | eta=61.4m (finishes ~ 03:24:05)
Epoch 68/500 | latent_loss=0.001284 | mask_loss=0.001242 | total_loss=0.002526 | epoch_time=8.5s | eta=61.3m (finishes ~ 03:24:06)
Epoch 69/500 | latent_loss=0.001283 | mask_loss=0.001222 | total_loss=0.002505 | epoch_time=8.4s | eta=61.1m (finishes ~ 03:24:05)
Epoch 70/500 | latent_loss=0.001282 | mask_loss=0.001203 | total_loss=0.002485 | epoch_time=8.5s | eta=61.0m (finishes ~ 03:24:05)
Epoch 71/500 | latent_loss=0.001281 | mask_loss=0.001185 | total_loss=0.002466 | epoch_time=8.7s | eta=60.9m (finishes ~ 03:24:06)
Epoch 72/500 | latent_loss=0.001280 | mask_loss=0.001168 | total_loss=0.002448 | epoch_time=8.7s | eta=60.7m (finishes ~ 03:24:07)
Epoch 73/500 | latent_loss=0.001279 | mask_loss=0.001150 | total_loss=0.002430 | epoch_time=8.5s | eta=60.6m (finishes ~ 03:24:07)
Epoch 74/500 | latent_loss=0.001279 | mask_loss=0.001134 | total_loss=0.002412 | epoch_time=8.6s | eta=60.5m (finishes ~ 03:24:07)
Epoch 75/500 | latent_loss=0.001278 | mask_loss=0.001117 | total_loss=0.002395 | epoch_time=8.5s | eta=60.3m (finishes ~ 03:24:07)
Epoch 76/500 | latent_loss=0.001277 | mask_loss=0.001102 | total_loss=0.002379 | epoch_time=8.2s | eta=60.2m (finishes ~ 03:24:05)
Epoch 77/500 | latent_loss=0.001277 | mask_loss=0.001087 | total_loss=0.002363 | epoch_time=8.5s | eta=60.0m (finishes ~ 03:24:05)
Epoch 78/500 | latent_loss=0.001276 | mask_loss=0.001072 | total_loss=0.002348 | epoch_time=8.6s | eta=59.9m (finishes ~ 03:24:06)
Epoch 79/500 | latent_loss=0.001276 | mask_loss=0.001057 | total_loss=0.002333 | epoch_time=8.6s | eta=59.7m (finishes ~ 03:24:06)
